filename,cmodels,pid,parent,sequence,Identifier,Child,Directory,FileName,FileCount,SpecialType,Title,Parent Item Title,Identifier (Item Number),Photographer,Date Created,Subject - Topic,Subject - Geographic,Subject - Temporal,Subject - Name [personal],Subject - Name [corporate],Subject - Name [family],Abstract (Description),Biographical Information,Note,Type of Resource,Internet Media Type,Form,Medium,Extent,Source,Digital Collection,Relation,Repository Collection,Repository Collection Guide,Arrangement (Record Group),Arrangement (Series),Arrangement (Subseries),Arrangement (Box),Arrangement (Folder),Location (Physical Location),Location (Institution Web Site),Location (OCLC Member Symbol),Location (Sublocation),Location (Shelving Location),Rights,Contact Information,Preferred Citation,Digitization Date,Digitized By,Digital Reproduction Information,Record Creation Date,Cataloged By
,islandora:compoundCModel,,lsu-multi:collection,,1,,A5000B015F001P001,,2,,Style show for 50th anniversary of women on campus ,,A5000B015F001P001,,1956,Women college students--Louisiana--Baton Rouge--Photographs; Fashion shows--Louisiana--Baton Rouge--Photographs,Baton Rouge (La.),Nineteen fifties,,Louisiana State University and Agricultural and Mechanical College--Students--Photographs,,"Two female students, dressed in early twentieth-century clothing and holding parasols, stand in front of a lamppost near Memorial Tower. The Law Building is visible in the background.",,,still image,jp2,photographs,,,LSU Libraries. Special Collections,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,https://www.lib.lsu.edu/sites/default/files/ua/findingaids/a5000_lsuphotocollection.pdf,A5000,,,Box 15,Folder 1,LSU Libraries,http://lib.lsu.edu,LUU,Hill Memorial Library: Special Collections,"AA:31, Box 15, Folder 1","Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.",Please submit an LSU Special Collections reference ticket at https://askus.lib.lsu.edu/special for any questions or comments about this digital object.,"Louisiana State University Photograph Collection, A5000, Louisiana State University Archives, LSU Libraries, Baton Rouge, La.",4/11/2018,EC,Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000,11/19/2018,en
cat.jp2,islandora:sp_large_image_cmodel,,2,1,1_01,1,A5000B015F001P001,A5000B015F001P001_001.jp2,,,Front,Style show for 50th anniversary of women on campus ,A5000B015F001P001_001,,,,,,,,,,,,still image,jp2,,,,,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,,,,,,,,,,,,,,,,,,11/19/2018,en
cat.jp2,islandora:sp_large_image_cmodel,,2,2,1_02,2,A5000B015F001P001,A5000B015F001P001_002.jp2,,,Back,Style show for 50th anniversary of women on campus  ,A5000B015F001P001_002,,,,,,,,,,,,still image,jp2,,,,,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,,,,,,,,,,,,,,,,,,11/19/2018,en
,,,,,2,,A5000B015F001P002,,2,,A Boy preparing to jump into the Huey P. Long Field House pool,,A5000B015F001P002,,Circa 1932-1950,Swimming pools--Louisiana--Baton Rouge--Photographs; Swimmers--Louisiana--Baton Rouge--Photographs; Children--Louisiana--Baton Rouge--Photographs,Baton Rouge (La.),Twentieth century,,"Huey P. Long Field House (Baton Rouge, La.)--Photographs",,,,"Handwritten on back: Fiser Collection. Stamped in ink on back: Stroube's Overnight Kodak Service, Baton Rouge, LA.",still image,jp2,photographs,,,LSU Libraries. Special Collections,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,https://www.lib.lsu.edu/sites/default/files/ua/findingaids/a5000_lsuphotocollection.pdf,A5000,,,Box 15,Folder 1,LSU Libraries,http://lib.lsu.edu,LUU,Hill Memorial Library: Special Collections,"AA:31, Box 15, Folder 1","Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.",Please submit an LSU Special Collections reference ticket at https://askus.lib.lsu.edu/special for any questions or comments about this digital object.,"Louisiana State University Photograph Collection, A5000, Louisiana State University Archives, LSU Libraries, Baton Rouge, La.",4/11/2018,EC,Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000,11/20/2018,en
,,,,,2_01,1,A5000B015F001P002,A5000B015F001P002_001.jp2,,,Front,Boy preparing to jump into the Huey P. Long Field House pool,A5000B015F001P002_001,,,,,,,,,,,,still image,jp2,,,,,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,,,,,,,,,,,,,,,,,,11/20/2018,en
,,,,,2_02,2,A5000B015F001P002,A5000B015F001P002_002.jp2,,,Back,Boy preparing to jump into the Huey P. Long Field House pool,A5000B015F001P002_002,,,,,,,,,,,,still image,jp2,,,,,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,,,,,,,,,,,,,,,,,,11/20/2018,en
,,,,,3,,A5000B015F001P003,,2,,Swimmer with trophies at the Huey P. Long Field House pool,,A5000B015F001P003,,Circa 1932-1950,Swimming pools--Louisiana--Baton Rouge--Photographs; Swimmers--Louisiana--Baton Rouge--Photographs,Baton Rouge (La.),Twentieth century,,"Huey P. Long Field House (Baton Rouge, La.)--Photographs",,,,"Handwritten on back: Fiser Collection. Stamped in ink on back: Stroube's Overnight Kodak Service, Baton Rouge, LA.",still image,jp2,photographs,,,LSU Libraries. Special Collections,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,https://www.lib.lsu.edu/sites/default/files/ua/findingaids/a5000_lsuphotocollection.pdf,A5000,,,Box 15,Folder 1,LSU Libraries,http://lib.lsu.edu,LUU,Hill Memorial Library: Special Collections,"AA:31, Box 15, Folder 1","Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.",Please submit an LSU Special Collections reference ticket at https://askus.lib.lsu.edu/special for any questions or comments about this digital object.,"Louisiana State University Photograph Collection, A5000, Louisiana State University Archives, LSU Libraries, Baton Rouge, La.",4/11/2018,EC,Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000,11/20/2018,en
,,,,,3_01,1,A5000B015F001P003,A5000B015F001P003_001.jp2,,,Front,Swimmer with trophies at the Huey P. Long Field House pool,A5000B015F001P003_001,,,,,,,,,,,,still image,jp2,,,,,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,,,,,,,,,,,,,,,,,,11/20/2018,en
,,,,,3_02,2,A5000B015F001P003,A5000B015F001P003_002.jp2,,,Back,Swimmer with trophies at the Huey P. Long Field House pool,A5000B015F001P003_002,,,,,,,,,,,,still image,jp2,,,,,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,,,,,,,,,,,,,,,,,,11/20/2018,en
,,,,,4,,A5000B015F001P004,,2,,Thomas Duckett Boyd with crowd ,,A5000B015F001P004,,Circa 1920-1930,College presidents--Louisiana--Baton Rouge--Photographs,Baton Rouge (La.),Nineteen twenties,"Boyd, Thomas Duckett,1854-1932--Photographs",Louisiana State University and Agricultural and Mechanical College--Presidents--Photographs,,,,Handwritten on front: LSU-SW 10. Handwritten on back: Fiser Collection. ,still image,jp2,photographs,,,LSU Libraries. Special Collections,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,https://www.lib.lsu.edu/sites/default/files/ua/findingaids/a5000_lsuphotocollection.pdf,A5000,,,Box 15,Folder 1,LSU Libraries,http://lib.lsu.edu,LUU,Hill Memorial Library: Special Collections,"AA:31, Box 15, Folder 1","Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.",Please submit an LSU Special Collections reference ticket at https://askus.lib.lsu.edu/special for any questions or comments about this digital object.,"Louisiana State University Photograph Collection, A5000, Louisiana State University Archives, LSU Libraries, Baton Rouge, La.",4/11/2018,EC,Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000,11/20/2018,en
